北京联通组播本地台,#genre#
CCTV1 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.129:8008
CCTV2 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.60:8084
CCTV3 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.172:8001
CCTV4 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.105:8092
CCTV5 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.173:8001
CCTV5+ 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.130:8004
CCTV6 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.174:8001
CCTV7 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.61:8104
CCTV8 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.175:8001
CCTV9 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.62:8112
CCTV10 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.63:8116
CCTV11 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.152:8120
CCTV12 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.64:8124
CCTV13 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.124:8128
CCTV14 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.65:8132
CCTV15 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.153:8136
CCTV16 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.184:8001
CCTV17 1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.151:8144
奥运频道-4K,http://littlegod.asuscomm.com:8012/udp/239.3.1.97:8001
央视频道-4K,http://littlegod.asuscomm.com:8012/udp/239.3.1.244:2000
电影测试-4K,http://littlegod.asuscomm.com:8012/udp/239.3.1.236:2000
超清电影-4K,http://littlegod.asuscomm.com:8012/udp/239.3.1.249:8001
CCTV4欧洲1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.213:4220
CCTV4美洲1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.214:4220
CGTN新闻1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.215:4220
CGTN记录1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.216:4220
CGTN西语1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.217:4220
CGTN法语1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.218:4220
CGTN阿语1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.219:4220
CGTN俄语1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.220:4220
北京卫视1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.241:8000
北京科教1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.115:8000
北京财经1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.116:8000
