龍🐉新测试,#genre#
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.flv
凤凰中文,http://103.40.13.71:12390/mytv/live.php?id=1
凤凰资讯,http://103.40.13.71:12390/mytv/live.php?id=2
凤凰香港,http://103.40.13.71:12390/mytv/live.php?id=3
凤凰资讯,http://103.95.24.37:880/fhzx.m3u8
凤凰香港,http://103.95.24.37:880/fhxgt.m3u8
香港环球,http://zb.xzxwhcb.com:9999/hls/world.m3u8
CHC影迷电影,http://ojbk.02200059.xyz:4022/udp/226.1.30.181:6000
CHC动作电影,http://ojbk.02200059.xyz:4022/udp/226.1.30.180:6000
CHC家庭影院,http://ojbk.02200059.xyz:4022/udp/226.1.30.179:6000
CHC家庭影院,http://nas.hssvm.com:8888/rtp/225.1.1.213:5002
CHC影迷电影,http://nas.hssvm.com:8888/rtp/225.1.1.214:5002
CHC动作电影,http://nas.hssvm.com:8888/rtp/225.1.1.215:5002
CHC影迷电影,http://lede.medahl.com:10098/udp/239.76.252.242:9000
CHC影迷电影,http://lede.medahl.com:10098/udp/239.76.245.242:1234
CHC动作电影,http://lede.medahl.com:10098/udp/239.76.252.243:9000
CHC动作电影,http://lede.medahl.com:10098/udp/239.76.245.243:1234
CHC家庭影院,http://lede.medahl.com:10098/udp/239.76.252.241:9000
CHC家庭影院,http://lede.medahl.com:10098/udp/239.76.245.241:1234
CHC影迷电影,http://www.jflying0505.top:8888/udp/239.45.0.42:5140
CHC家庭影院,http://www.jflying0505.top:8888/udp/239.45.0.40:5140
CHC动作电影,http://www.jflying0505.top:8888/udp/239.45.0.41:5140
CHC动作电影,http://annaxi.lw-home.com:11111/udp/239.253.254.153:8000
CHC影迷电影,http://annaxi.lw-home.com:11111/udp/239.253.254.154:8000
CHC家庭影院,http://annaxi.lw-home.com:11111/udp/239.253.254.152:8000
CHC动作电影,http://annaxi.yifinal.com:11111/udp/239.253.254.153:8000
CHC影迷电影,http://annaxi.yifinal.com:11111/udp/239.253.254.154:8000
